"2024. 3. 1. 청간전보년수 커트라인(중등)_전문상담,보건,사서 포함",,,,,,,,,,,,,,,,,,,,,,,,,
"* 읽는 법 (예) 6/18(7.2) : 6명 배치/18명 지원, 전보년수 커트라인 7.2년(단, 괄호가 빈 칸인 경우는 초빙임.)_1희망지 기준",,,,,,,,,,,,,,,,,,,,,,,,,
교과,수원,성남,안양,부천,광명,안산,평택,군포,여주,화성,광주,양평,이천,용인,안성,김포,시흥,의정부,동두천,고양,구리,파주,연천,포천,가평
도덕윤리,14/14(1.10),9/9(2.7),8/8(4.6),15/15(1.0),6/8(4.0),3/3(3.7),4/4(5.2),2/2(6.8),1/1(5.4),9/9(2.0),6/6(4.0),1/1(3.9),3/3(2.0),9/9(3.0),1/1(4.0),5/5(3.0),7/7(2.0),7/7(2.7),10/10(2.0),14/14(2.7),5/5(2.6),8/8(2.9),,,
국어,46/46(2.0),35/43(4.1),21/35(6.0),46/46(1.3),11/39(6.4),10/10(2.0),13/13(2.7),19/40(6.9),6/6(2.10),25/25(1.0),24/24(2.0),,6/6(2.7),50/50(1.0),4/4(2.0),21/21(1.0),25/25(2.0),19/24(4.0),5/5(2.0),40/40(2.7),18/18(2.0),24/25(3.2),3/3(3.0),1/1(3.0),3/3(4.0)
수학,64/75(4.0),41/55(4.3),36/36(2.7),27/27(2.0),14/51(7.6),13/13(2.0),12/12(2.0),27/41(5.0),2/2(2.7),30/30(2.0),39/39(1.0),1/1(4.2),5/5(4.0),43/43(1.0),5/5(3.7),13/13(2.7),24/24(2.0),25/31(4.0),12/12(2.6),38/38(2.7),26/26(0.6),40/41(3.0),1/1(7.3),4/4(2.0),
일반사회,12/12(2.0),8/16(5.4),6/8(5.6),9/9(1.3),3/7(5.2),2/2(3.10),3/3(2.7),7/12(5.0),,7/7(6.0),7/7(2.0),1/1(4.4),2/2(2.7),7/7(2.0),,4/4(2.7),4/4(3.0),7/8(4.0),,11/11(2.7),4/4(1.0),10/10(3.3),,,1/1(10.0)
역사,15/23(4.7),16/16(3.3),10/17(5.0),12/12(2.6),8/11(5.0),2/2(4.0),3/3(5.2),10/10(3.1),2/2(3.10),16/16(2.7),4/4(2.2),,1/1(5.2),20/20(2.3),,4/4(2.0),10/10(0.10),7/7(2.0),5/5(2.0),13/13(2.7),11/11(2.7),9/20(5.0),,,
지리,9/9(2.0),4/5(4.0),3/5(3.10),8/8(2.6),2/6(7.6),1/1(2.0),4/4(3.0),1/3(6.0),,,5/5(3.9),,,5/5(1.9),,2/2(5.0),1/1(3.10),4/4(4.0),1/1,3/3(2.0),3/3(6.6),5/9(5.0),1/1(8.6),,
통합사회,1/1(8.6),2/2(5.3),2/2(4.6),2/2(5.2),1/1(6.8),,1/1(3.10),2/5(7.0),,1/1(5.0),2/2(5.0),,1/1(11.6),3/3(3.0),,2/2(2.0),1/1(2.0),4/4(4.0),,2/2(1.0),,2/4(5.0),,,
물리,12/12(2.0),5/7(5.0),4/7(5.0),3/3(3.0),4/9(5.4),4/4(4.0),,3/3(2.7),1/1(10.0),8/8(2.7),5/5(2.0),1/2(2.0),1/1(6.6),7/7(2.7),1/1(5.1),1/1(2.0),2/2(5.0),5/7(5.0),4/4(2.0),6/6(3.0),5/5(2.7),3/3(5.0),,,2/2(1.0)
화학,16/17(3.0),7/11(4.0),9/9(3.0),7/7(2.0),4/6(6.2),3/3(2.0),2/2(1.8),6/7(4.6),,10/10(0.8),,,,10/10(2.7),,4/4(2.0),3/3(3.6),4/4(3.0),2/2(2.0),5/5(2.7),2/2(2.0),8/11(4.0),,,
생물,19/19(2.0),12/14(4.9),5/10(6.6),7/7(3.2),5/5(4.0),3/3(1.0),3/3(1.4),4/10(6.0),,7/7(2.7),3/3(5.0),,,13/13(2.0),1/1(3.0),3/3(2.7),5/5(4.0),6/7(5.0),5/5(3.0),11/11(2.7),4/4(5.0),9/11(2.3),,,
지구과학,11/13(3.10),6/7(4.6),6/7(6.0),8/8(2.7),7/7(3.0),2/2(3.1),2/2(5.0),3/3(5.0),,6/6(2.7),3/3(4.6),,1/1(4.0),10/10(2.7),1/1(2.0),3/3(4.2),2/2(1.0),5/6(2.9),1/1(5.0),7/7(3.0),4/4(3.0),11/11(3.6),,,
통합과학,6/6(3.8),1/5(6.1),1/5(6.0),1/1(4.0),1/4(5.0),,,2/2(5.0),1/1(7.0),2/2(6.6),1/1(5.0),,,3/3(3.0),,1/1(5.0),1/1(7.6),4/7(5.2),2/2(5.0),,,5/5(4.0),,,
체육,23/23(0.9),13/13(2.0),14/14(3.0),16/16(0.10),11/11(3.9),5/5(3.0),5/5(2.3),13/18(4.0),4/4(4.6),21/21(1.0),9/9(3.10),,3/3(9.0),15/15(2.6),5/5(2.0),5/5(2.0),19/19(3.0),9/9(2.7),8/8(2.0),18/18(1.0),15/15(3.0),16/21(5.0),1/1(11.4),2/2(10.0),1/1
음악,16/20(3.1),8/17(5.0),13/14(3.0),9/9(2.2),9/9(2.0),2/2(3.10),3/3(2.0),6/12(5.0),1/1(6.6),9/9(2.0),8/8(2.6),,3/3(4.0),10/10(3.0),2/2(2.9),2/2(6.0),2/2(4.0),5/5(3.10),2/2(5.0),10/10(3.0),2/2(3.0),5/5(2.0),1/1(5.0),,
미술,20/20(2.0),10/13(4.0),7/11(6.4),9/9(2.0),2/10(9.0),4/4(0.8),2/2(5.2),6/7(3.1),2/2(2.7),4/4(1.0),10/10(4.3),1/1(5.0),3/3(3.8),12/12(2.0),2/2(3.0),9/9(2.0),4/4(4.0),2/2(5.0),2/2(4.7),14/14(1.0),6/6(2.0),13/13(2.0),,,1/1(2.0)
한문,6/10(5.0),6/7(4.0),4/7(6.6),7/7(1.0),1/4(5.0),1/1(5.2),1/1(2.6),1/6(8.6),,4/4(5.0),1/1(5.0),1/2,1/1(4.3),5/6(3.0),1/1(11.6),3/3(4.0),4/4(3.6),1/3(6.0),,5/5(2.0),3/3(4.0),2/7(5.0),,,1/1(8.6)
영어,57/57(2.0),21/52(6.6),36/40(4.10),30/30(1.0),4/36(9.6),2/2(2.7),6/6(2.9),20/43(5.4),,20/20(2.7),33/38(3.9),1/5(7.6),4/4(4.6),39/39(2.0),7/7(0.9),16/16(2.0),11/11(3.0),17/17(2.0),5/5(3.0),44/44(2.7),21/21(1.1),31/31(2.8),2/2(5.0),2/2(3.0),2/2(4.6)
일본어,5/8(5.0),1/10(7.2),4/7(6.5),4/4(2.0),4/4(4.6),,,2/4(7.4),,3/3(2.7),1/1(5.0),,1/1(5.0),6/6(3.0),,1/1(6.0),1/1(2.0),1/1(6.0),1/1,6/6(4.0),6/6(1.0),2/2(5.3),,,1/1(5.0)
중국어,3/14(7.3),5/10(6.9),4/6(4.0),1/4(6.6),3/3(3.3),1/1,,3/3(4.0),,2/2(4.5),2/2(3.0),,1/1(3.10),7/7(2.0),,3/4(3.0),1/4(5.0),2/4(7.6),1/1(5.0),8/8(2.0),2/5(4.3),1/4(5.0),,,
독일어,,,,,,,,,,,,,,,,,,,,,,,,,
프랑스어,,,,,,,,,,,,,,,,,,,,,,,,,
러시아어,,,,,,,,,,1/1(10.0),,,,,,,,,,,,,,,
스페인어,,,,,,,,,,,,,,,,,,,,,,,,,
아랍어,,,,,,,,,,,,,,,,,,,,,,,,,
기술가정,,,,,,,,,,,,,,,,,,,,,,,,,
기술,13/13(1.0),4/4(2.6),6/7(3.1),5/5(2.7),4/7(5.0),4/4(2.0),2/2(2.7),4/4(4.0),,6/6(1.0),3/3(3.10),,1/1(6.6),11/11(3.6),5/5(0.0),3/3(2.7),4/4(3.0),5/8(6.9),2/2(4.6),8/8(3.9),3/3(5.2),4/4(3.10),,1/1,
가정,9/9(2.0),3/3(3.6),8/9(4.9),10/10(2.6),2/5(6.0),3/3(2.7),1/1(4.0),5/5(4.1),,5/5(2.0),2/2(5.0),1/1(5.2),1/1(9.0),6/6(2.6),,1/1(5.0),3/3(3.10),5/5(3.10),2/2(2.11),8/8(2.0),3/3(2.0),5/5(5.0),,1/1(6.7),
농업,,,,,,,,,,,,,,,,,,,,,,,,,
임업,,,,,,,,,,,,,,,,,,,,,,,,,
원예,,,,,,,,,,,,,,,,,,,,,,,,,
조경,,,,,,,,,,,,,,,,,,,,,,,,,
식물자원조경,5/5(3.10),,,,,,,,,1/1(8.0),1/1(10.0),,1/1(3.0),1/1(5.0),1/1(15.0),,,,,,,1/3(6.6),,,
축산,,,,,,,,,,,,,,,,,,,,,,,,,
잠업,,,,,,,,,,,,,,,,,,,,,,,,,
동물자원,1/1(7.2),,,,,,,,,1/1(7.2),,,,,,,,,,2/2(2.7),,,,,
식품가공,1/1(8.6),1/1,,,,,,,,1/1(6.6),1/1(4.0),,1/1(8.7),,,,,,,,1/1(5.6),,,,
농토목,,,,,,,,,,,,,,,,,,,,,,,,,
농업기계,,,,,,,,,,,,,,,,,,,,,,,,,
농기계,,,,,,,,,,,,,,,,,,,,,,,,,
농업토목,,,,,,,,,,,,,,,,,,,,,,,,,
농공,1/1(10.6),,,,,,,,,,,,,,,,,,,,,,,,
공업,,,,,,,,,,,,,,,,,,,,,,,,,
건축,,,,,,,,1/1(3.0),,,,,,,,,,,,1/1(2.0),,,,,
토목,,,,,,,,,,,,,,,,,,,,,,,,,
건설,,,2/2(5.0),1/1(2.0),,,,1/1(7.6),,,,,,,,,,1/1(5.2),,1/1(8.6),1/1(3.10),,,,
전기,,,,,,,,,,,,,,,,,,,,,,,,,
전자,,,,,,,1/1(8.7),,,,,,,,,,1/1(3.0),,,,,,,,
통신,,,,,,,,,,,,,,,,,,,,,,,,,
전기전자통신,4/5(5.0),1/1(5.0),3/7(5.0),2/3(5.4),,,2/2(4.0),1/3(7.6),,,,,,,,1/1(4.0),1/1(4.0),3/3(2.7),,3/3(2.7),1/1(5.2),,,1/1,1/1(4.6)
화공,,,,,,,,,,,,,,,,1/1(3.0),,,,,,,,,
섬유,,,,,,,,,,,,,,,,,,,,,,,,,
화공섬유,,,2/2(5.0),,,,,1/1(4.0),,,,,,,,1/1(5.9),2/2(6.6),,,2/2(5.0),,,,,
금속,,,,,,,,,,,,,,,,,,,,,,,,,
기계,1/1,,,,,,,,,,,,,,,,,,,,,,,,
재료,,,,,,,,,,,,,,,,,,,,,,,,,
자동차,,,,,,,,,,,,,,,,,,,,,,,,,
기계금속,4/4,,2/3(5.0),,,,6/6(1.0),,,,,,,,,1/1(3.0),4/4(6.9),3/3(6.0),,,,,1/1(3.10),,
환경,,,,,,,,,,,,,,,,,,,,,,,,,
상업정보,,2/2(4.6),,4/11(3.10),3/3(6.0),4/4(2.0),5/5(3.0),2/3(8.9),,5/5(4.0),6/6(3.6),,,,1/1(5.0),,,,,,4/4(2.0),,,,
공예,,,,,,,,,,,,,,,,,,,,,,,,,
디자인,,,,,,,,,,,,,,,,,,,,,,,,,
디자인공예,,1/1(3.0),1/1(4.2),1/1(3.0),,,,2/2(4.6),,1/1(5.0),1/1(5.0),,,,,,1/1(2.6),,,1/1(10.0),,,,,
정보컴퓨터,11/11(2.7),8/11(3.10),7/7(2.0),3/3(2.7),5/9(7.0),3/3(5.0),3/3(2.0),3/3(4.8),1/1(5.0),7/7(2.0),3/3(3.0),,1/1(4.3),12/12(3.0),1/1(4.0),2/2(4.6),4/4(1.0),2/2(5.6),3/3(1.6),12/12(1.0),5/5(3.0),9/9(3.0),,1/1(7.3),2/2(4.6)
전자계산,,,,,,,,,,,,,,,,,,,,,,,,,
의상,,,,,,,,,,,,,,,,,,,,,,,,,
철학,,,,,,,,,,,,,,,,,,,,,,,,,
관광,,1/1(2.0),1/1(4.0),,,,,,,,,,,,,,,,,,,,,,
요업,,,,,,,,,,,,,,,,,,,,,,,,,
세라믹,,,,,,,,,,,,,,,,,,,,,,,,,
농산물유통,,,,,,,,,,,,,,,,,,,,,,,,,
미용,,,,,,,,,,,,,,,,,,,,1/1(1.0),,,,,
조리,,,,,,,,,,,,,,,,,,,,1/1(2.0),,,,,
연극영화,,,,,,,,,,,2/2(5.0),,,1/1(5.0),,,,,,1/1(2.6),,,,,
만화,,,,,,,,,,,,,,,,,,,,,,,,,
심리학,,,,,,,,,,,,,,,,,,,,,,,,,
진로진학상담,3/3(5.2),,3/3(3.0),1/1(6.0),1/5(6.6),,,2/5(3.10),,,2/2(4.6),1/1(3.0),2/2(1.0),1/1(2.0),,,1/1(3.0),1/4(8.10),1/1(4.0),5/5(2.7),3/3(5.0),1/1(3.0),,2/2(4.0),
전문상담,4/11(5.6),4/7(5.6),1/5(7.6),7/7(2.10),1/3(4.0),,1/1(6.6),5/8(5.2),,4/6(4.0),1/1(4.0),,2/2(4.3),2/5(5.3),,,,3/9(7.6),1/4(5.2),4/7(5.0),6/6(3.0),,,,
보건,5/16(5.6),3/12(5.0),3/7(6.9),7/7(2.7),3/7(5.0),3/3(3.10),,4/8(5.0),2/2(4.0),2/2(3.0),4/4(2.3),,2/2(2.7),7/7(2.7),1/1(4.6),2/2(2.0),3/3(2.0),2/6(7.2),2/2(1.2),8/8(2.0),7/7(4.0),4/4(5.0),,,
사서,1/1(4.0),,1/1(6.2),,,1/1(8.0),1/1(8.0),,,2/2(2.0),2/2(2.7),,1/1(3.1),1/1(6.6),,,,1/1(6.11),,1/1(4.6),1/1(6.0),1/1(2.0),,,
